,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[14],-0.036980842,0.318114287,0.002597392,0.004061075,-0.774469346,-0.174820009,-0.020308206,0.116936897,0.574518682
delta[15],-0.021424419,0.333623045,0.002724021,0.005866933,-0.712371449,-0.153616548,-0.009172351,0.130531579,0.631690474
delta[16],-0.050987111,0.322217348,0.002630894,0.006270485,-0.777740643,-0.183567599,-0.023747689,0.106493797,0.540978278
delta[17],0.11617157,0.336101063,0.002744254,0.013710892,-0.432663979,-0.062771898,0.064987734,0.243036816,0.972100563
delta[18],-0.046996496,0.319954103,0.002612414,0.00506403,-0.780020043,-0.182335351,-0.024086393,0.109330302,0.556187137
delta[19],0.035165014,0.31521776,0.002573742,0.005492409,-0.579049606,-0.115582371,0.020163386,0.169833067,0.7348991
delta[20],0.001606497,0.298082797,0.002433836,0.00319612,-0.62053448,-0.136242623,0.000354186,0.137906882,0.639114414
delta[21],-0.04176837,0.306435958,0.002502039,0.00531854,-0.746040829,-0.176228667,-0.021472536,0.11310376,0.543079062
delta[22],0.066438277,0.321725317,0.002626876,0.007649118,-0.486511404,-0.098640547,0.031250729,0.19250008,0.845443105
delta[23],-0.030936643,0.316214183,0.002581878,0.004535777,-0.73202203,-0.163669241,-0.01521847,0.123829332,0.576610981
delta[24],0.007622796,0.302570508,0.002470478,0.004028843,-0.63137488,-0.135635474,0.003112529,0.145946316,0.664887315
delta[25],-0.084221943,0.321938988,0.002628621,0.008882363,-0.869977168,-0.210115995,-0.044531799,0.08196868,0.473217761
delta[26],-0.048446943,0.310838241,0.002537984,0.006407496,-0.749848748,-0.180545266,-0.025064378,0.109040863,0.52416219
delta[27],0.002553161,0.313069233,0.0025562,0.00451966,-0.646191541,-0.142441915,0.000915138,0.144650549,0.662856282
delta[28],-0.057711372,0.318648272,0.002601752,0.006193554,-0.783765654,-0.189683261,-0.027881398,0.10308969,0.520862356
delta[29],0.07018983,0.322247752,0.002631142,0.008332906,-0.503354707,-0.09442144,0.039493645,0.204529123,0.837160054
delta[30],0.186676435,0.357589979,0.00291971,0.023737359,-0.322661613,-0.024091688,0.111359871,0.319816658,1.157324002
delta[31],-0.04434779,0.317363848,0.002591265,0.005994555,-0.768123301,-0.175333985,-0.023327535,0.110839767,0.55932269
delta[32],-0.021418639,0.317477392,0.002592192,0.003965929,-0.743776891,-0.156460248,-0.010748795,0.125967637,0.615163219
delta[33],-0.011093894,0.313631507,0.002560791,0.003332091,-0.664283254,-0.153976991,-0.006880621,0.132644233,0.627811398
delta[34],0.057799951,0.321113438,0.00262188,0.008478324,-0.545407838,-0.102126781,0.032077337,0.186639732,0.794561127
delta[35],-0.023843207,0.326974257,0.002669734,0.004540526,-0.732715094,-0.158981261,-0.010777295,0.127023305,0.596792452
delta[36],0.064753241,0.321525378,0.002625244,0.007481648,-0.526455333,-0.094098476,0.035896946,0.19182001,0.811652735
delta[37],-0.012216646,0.329445424,0.002689911,0.004509341,-0.730369558,-0.15280537,-0.002487936,0.13550392,0.661809215
delta[38],-0.028522421,0.325377416,0.002656695,0.004698141,-0.742282588,-0.167406167,-0.016820151,0.122200793,0.622201138
delta[39],-0.047375884,0.316970241,0.002588051,0.005650392,-0.754707519,-0.178532606,-0.025361029,0.107827599,0.539756494
delta[40],-0.023458957,0.318590162,0.002601278,0.003970946,-0.736438913,-0.160022615,-0.009712578,0.131306651,0.601291511
delta[41],-0.024028349,0.31127611,0.002541559,0.003942586,-0.712820681,-0.157020043,-0.010263864,0.125221139,0.587975164
delta[42],-0.033444159,0.319367871,0.002607628,0.004061501,-0.755951061,-0.164968004,-0.015908971,0.117976046,0.579477493
delta[43],-0.024898455,0.324209373,0.002647158,0.004909759,-0.745018781,-0.165447022,-0.012630939,0.129195057,0.63202697
delta[44],-0.018654819,0.316452625,0.002583825,0.003629989,-0.717690837,-0.154592512,-0.007199042,0.127232875,0.600792601
delta[45],-0.038317279,0.314392116,0.002567001,0.004407323,-0.762168385,-0.170355997,-0.019168611,0.116745747,0.563132444
